postcode,locality,region,long,lat,territory,island
"0110","Abbey Caves","Northland","174.327","-35.749","Whangarei","North Island"
"0110","Avenues","Northland","174.327","-35.749","Whangarei","North Island"
"0110","Horahora","Northland","174.327","-35.749","Whangarei","North Island"
"0110","Morningside","Northland","174.327","-35.749","Whangarei","North Island"
"0110","Onerahi","Northland","174.327","-35.749","Whangarei","North Island"
"0110","Otaika","Northland","174.327","-35.749","Whangarei","North Island"
"0110","Port Whangarei","Northland","174.327","-35.749","Whangarei","North Island"
"0110","Raumanga","Northland","174.327","-35.749","Whangarei","North Island"
"0110","Whangarei Central","Northland","174.327","-35.749","Whangarei","North Island"
"0112","Glenbervie","Northland","174.3001","-35.693","Whangarei","North Island"
"0112","Kamo","Northland","174.3001","-35.693","Whangarei","North Island"
"0112","Kensington","Northland","174.3001","-35.693","Whangarei","North Island"
"0112","Mairtown","Northland","174.3001","-35.693","Whangarei","North Island"
"0112","Otangarei","Northland","174.3001","-35.693","Whangarei","North Island"
"0112","Parahaki","Northland","174.3001","-35.693","Whangarei","North Island"
"0112","Regent","Northland","174.3001","-35.693","Whangarei","North Island"
"0112","Riverside","Northland","174.3001","-35.693","Whangarei","North Island"
"0112","Tikipunga","Northland","174.3001","-35.693","Whangarei","North Island"
"0114","Hikurangi","Northland","174.2815","-35.5909","Whangarei","North Island"
"0114","Waro","Northland","174.2815","-35.5909","Whangarei District","North Island"
"0140","Riverside","Northland","174.3213","-35.7245","Whangarei District","North Island"
"0141","Otangarei","Northland","174.3008","-35.6834","Whangarei District","North Island"
"0142","Sherwood Rise","Northland","174.3681","-35.7546","Whangarei District","North Island"
"0143","Morningside","Northland","174.3054","-35.7343","Whangarei District","North Island"
"0144","Tikipunga","Northland","174.3266","-35.6866","Whangarei District","North Island"
"0145","Kensington","Northland","174.3207","-35.7085","Whangarei District","North Island"
"0146","Maungakaramea","Northland","174.2048","-35.8451","Whangarei District","North Island"
"0147","Woodhill","Northland","174.308","-35.7429","Whangarei District","North Island"
"0148","Woodhill","Northland","174.3152","-35.7512","Whangarei District","North Island"
"0149","Riverside","Northland","174.3259","-35.7247","Whangarei District","North Island"
"0150","Hikurangi","Northland","174.2863","-35.5979","Whangarei District","North Island"
"0151","Ruakaka","Northland","174.4554","-35.8751","Whangarei District","North Island"
"0152","Maungatapere","Northland","174.2081","-35.7549","Whangarei District","North Island"
"0153","Tutukaka","Northland","174.522","-35.6129","Whangarei District","North Island"
"0154","Ngunguru","Northland","174.5041","-35.6297","Whangarei District","North Island"
"0170","Puwera","Northland","174.268","-35.7762","Whangarei District","North Island"
"0171","Mata","Northland","174.3925","-35.8556","Whangarei District","North Island"
"0172","Parakao","Northland","173.9353","-35.7039","Kaipara District","North Island"
"0173","Kiripaka","Northland","174.4391","-35.6147","Whangarei District","North Island"
"0174","Whangarei Heads","Northland","174.4823","-35.8069","Whangarei District","North Island"
"0175","Tahere","Northland","174.4312","-35.6943","Whangarei District","North Island"
"0176","Moengawahine","Northland","174.1057","-35.6306","Whangarei District","North Island"
"0178","Maungakaramea","Northland","174.2236","-35.852","Kaipara District","North Island"
"0179","Maungatapere","Northland","174.1728","-35.7562","Whangarei District","North Island"
"0181","Marua","Northland","174.3839","-35.5606","Whangarei District","North Island"
"0182","Hukerenui","Northland","174.1879","-35.4967","Far North District","North Island"
